propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33887539,75.0,2,1,Estrela,38.7150796,-9.1637599,0,0,0,0,0,0,0,1,0,0,1,0,0
33887453,125.0,2,1,Avenidas Novas,38.7384696,-9.1580819,0,1,0,1,1,0,0,1,0,0,1,0,0
32911167,68.0,1,1,Arroios,38.7318817,-9.1458251,0,1,0,1,1,0,0,1,0,0,1,0,0
33887424,40.0,1,1,Ajuda,38.7029073,-9.2002628,0,0,0,0,0,0,0,1,0,0,1,0,0
33864908,141.0,2,3,Campolide,38.7244855,-9.1608892,0,1,0,1,1,0,0,1,0,0,1,0,0
33887411,81.0,1,1,São Vicente,38.7179545,-9.1295522,0,1,0,1,1,0,0,1,0,0,1,0,0
33887313,70.0,2,1,Penha de França,38.7312698,-9.1278103,0,1,0,0,0,0,0,1,0,0,1,0,0
32686359,67.0,1,2,Estrela,38.7063195,-9.1557442,0,1,0,1,1,0,0,1,0,0,1,0,0
33820957,60.0,2,1,Misericórdia,38.7104192,-9.145894,0,0,0,0,0,0,0,1,0,0,1,0,0
33887304,153.0,3,2,Alvalade,38.7525102,-9.1345694,0,1,0,1,1,0,0,1,0,0,1,0,0
33887111,110.0,2,2,Carnide,38.7641237,-9.1752269,0,1,0,1,1,0,0,1,0,0,1,0,0
33865062,78.0,2,1,Alcântara,38.7029142,-9.1812145,0,1,0,0,0,0,0,1,0,0,1,0,0
33887039,48.0,0,1,Santo António,38.7211544,-9.1477885,0,1,0,1,1,0,0,0,0,1,1,0,0
33887050,39.0,1,1,Marvila,38.739001,-9.1032481,0,1,0,0,0,0,0,1,0,0,1,0,0
33886874,120.0,2,1,Lumiar,38.7845858,-9.1691455,0,1,0,0,0,0,0,1,0,0,1,0,0
33881536,55.0,1,1,Avenidas Novas,38.7346875,-9.1507274,0,1,0,1,1,0,0,1,0,0,1,0,0
33886856,65.0,1,1,Santo António,38.7157825,-9.1466849,0,0,0,0,0,0,0,1,0,0,1,0,0
33886850,90.0,2,2,Carnide,38.7575468,-9.1932373,0,0,0,0,0,0,0,1,0,0,1,0,0
33886839,40.0,1,1,Belém,38.6960793,-9.2261132,0,1,0,0,0,0,0,1,0,0,1,0,0
33886833,49.0,1,1,Misericórdia,38.7109008,-9.1442384,0,1,0,0,0,0,0,1,0,0,1,0,0
33886832,71.0,2,2,Campolide,38.7316137,-9.1641086,0,1,0,0,0,0,0,1,0,0,1,0,0
33886831,20.0,0,1,Estrela,38.7058432,-9.1652238,0,0,0,0,0,0,0,0,0,1,1,0,0
33886830,90.0,2,1,Estrela,38.7056018,-9.1655606,0,0,0,0,0,0,0,1,0,0,1,0,0
33886798,40.0,0,1,Arroios,38.7311232,-9.1422652,0,0,0,0,0,0,0,0,0,1,1,0,0
32913777,55.0,2,1,Santa Maria Maior,38.7086771,-9.1356992,0,0,0,0,0,0,0,1,0,0,1,0,0
33841020,75.0,1,1,Alvalade,38.7516728,-9.165872,0,1,0,1,1,0,0,1,0,0,1,0,0
33886725,65.0,2,1,Campolide,38.7250443,-9.1664897,0,0,0,0,0,0,0,1,0,0,1,0,0
33886688,70.0,1,1,Estrela,38.7089132,-9.156746,0,0,0,0,0,0,0,1,0,0,1,0,0
33885000,76.0,2,2,São Vicente,38.7146512,-9.1310252,0,0,0,0,0,0,0,1,0,0,1,0,0
33886326,50.0,1,1,Arroios,38.730516,-9.1368618,0,1,0,0,0,0,0,1,0,0,1,0,0
